"Freq [GHz]","Phase [deg]","Distance [mm]","Mag_H [A_per_meter]"
0.001,0,17.0442642642643,0.0291170649572228
0.001,0,17.1642942942943,0.0290558834055667
0.001,0,17.2843243243243,0.0289946856431821
0.001,0,17.4043543543543,0.0289334716678521
0.001,0,17.5243843843844,0.0288722414773662
0.001,0,17.6444144144144,0.0288109950695203
0.001,0,17.7644444444444,0.0287497324421163
0.001,0,17.8844744744745,0.0286884535929627
0.001,0,18.0045045045045,0.0286271585198741
0.001,0,18.1245345345345,0.0285658472206713
0.001,0,18.2445645645646,0.0285045196931815
0.001,0,18.3645945945946,0.0284431759352383
0.001,0,18.4846246246246,0.0283818159446813
0.001,0,18.6046546546547,0.0283204397193566
0.001,0,18.7246846846847,0.0282590472571165
0.001,0,18.8447147147147,0.0281976385558196
0.001,0,18.9647447447447,0.0281362136133308
0.001,0,19.0847747747748,0.0280747724275211
0.001,0,19.2048048048048,0.0280133149962681
0.001,0,19.3248348348348,0.0279518413174554
0.001,0,19.4448648648649,0.0278903513889731
0.001,0,19.5648948948949,0.0278288452087174
0.001,0,19.6849249249249,0.0277673227745909
0.001,0,19.804954954955,0.0277057840845024
0.001,0,19.924984984985,0.0276442291363671
0.001,0,20.045015015015,0.0275826579281063
0.001,0,20.165045045045,0.0275210704576477
0.001,0,20.2850750750751,0.0274594667229253
0.001,0,20.4051051051051,0.0273978467218793
0.001,0,20.5251351351351,0.0273362104524563
0.001,0,20.6451651651652,0.027274557912609
0.001,0,20.7651951951952,0.0272131469178873
0.001,0,20.8852252252252,0.0271518264679419
0.001,0,21.0052552552553,0.027090478308261
0.001,0,21.1252852852853,0.0270291024386801
0.001,0,21.2453153153153,0.0269676988591242
0.001,0,21.3653453453453,0.0269062675696072
0.001,0,21.4853753753754,0.0268448085702321
0.001,0,21.6054054054054,0.0267833218611911
0.001,0,21.7254354354354,0.0267218074427654
0.001,0,21.8454654654655,0.0266602653153254
0.001,0,21.9654954954955,0.0265986954793305
0.001,0,22.0855255255255,0.0265370979353294
0.001,0,22.2055555555556,0.0264754726839598
0.001,0,22.3255855855856,0.0264138197259483
0.001,0,22.4456156156156,0.0263521390621111
0.001,0,22.5656456456456,0.0262904306933529
0.001,0,22.6856756756757,0.0262286946206681
0.001,0,22.8057057057057,0.0261669308451398
0.001,0,22.9257357357357,0.0261051393679404
0.001,0,23.0457657657658,0.0260433201903313
0.001,0,23.1657957957958,0.0259814733136631
0.001,0,23.2858258258258,0.0259195987393755
0.001,0,23.4058558558559,0.0258576964689972
0.001,0,23.5258858858859,0.0257957665041462
0.001,0,23.6459159159159,0.0257338088465294
0.001,0,23.7659459459459,0.0256718234979429
0.001,0,23.885975975976,0.0256098104602719
0.001,0,24.006006006006,0.0255477697354909
0.001,0,24.126036036036,0.0254857013256632
0.001,0,24.2460660660661,0.0254236052329413
0.001,0,24.3660960960961,0.025361481459567
0.001,0,24.4861261261261,0.0252993300078709
0.001,0,24.6061561561561,0.025237150880273
0.001,0,24.7261861861862,0.0251749440792821
0.001,0,24.8462162162162,0.0251127096074965
0.001,0,24.9662462462462,0.0250504474676033
0.001,0,25.0862762762763,0.0249881576623788
0.001,0,25.2063063063063,0.0249258401946884
0.001,0,25.3263363363363,0.0248634950674867
0.001,0,25.4463663663664,0.0248011222838172
0.001,0,25.5663963963964,0.0247386811252038
0.001,0,25.6864264264264,0.0246757908340553
0.001,0,25.8064564564565,0.0246128845180099
0.001,0,25.9264864864865,0.0245499621691198
0.001,0,26.0465165165165,0.0244870237795125
0.001,0,26.1665465465465,0.0244240693413914
0.001,0,26.2865765765766,0.0243610988470355
0.001,0,26.4066066066066,0.0242981122887995
0.001,0,26.5266366366366,0.024235109659114
0.001,0,26.6466666666667,0.0241722091574534
0.001,0,26.7666966966967,0.0241099516938148
0.001,0,26.8867267267267,0.0240477238020705
0.001,0,27.0067567567568,0.0239855254806684
0.001,0,27.1267867867868,0.0239233567282788
0.001,0,27.2468168168168,0.0238612175437949
0.001,0,27.3668468468468,0.0237991079263324
0.001,0,27.4868768768769,0.0237370278752295
0.001,0,27.6069069069069,0.0236749773900473
0.001,0,27.7269369369369,0.0236129564705693
0.001,0,27.846966966967,0.0235509651168019
0.001,0,27.966996996997,0.023489003328974
0.001,0,28.087027027027,0.0234262912958432
0.001,0,28.2070570570571,0.0233635662307051
0.001,0,28.3270870870871,0.0233008778278378
0.001,0,28.4471171171171,0.0232382260884328
0.001,0,28.5671471471471,0.0231756110138186
0.001,0,28.6871771771772,0.0231130326054611
0.001,0,28.8072072072072,0.0230504908649634
0.001,0,28.9272372372372,0.022987985794066
0.001,0,29.0472672672673,0.0229255173946463
0.001,0,29.1672972972973,0.0228630856687193
0.001,0,29.2873273273273,0.0228006906184371
0.001,0,29.4073573573574,0.0227383322460889
0.001,0,29.5273873873874,0.0226760105541014
0.001,0,29.6474174174174,0.0226137255450383
0.001,0,29.7674474474474,0.0225514772216008
0.001,0,29.8874774774775,0.022489265586627
0.001,0,30.0075075075075,0.0224270906430927
